location,category_name,sub_category_url,sub_category_name,all_categories,Title,Number of Watchers,Price,Condtion,Page_url,item_number,'item_number',Start date of listing,End date of listing
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Sweaters > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Sweaters",Yves Saint Laurent Vintage YSL Logo Sweater Top #M Cream Gold Wool Rank AB,2,US $264.00,Pre-owned,https://www.ebay.com/itm/315578438546?itmmeta=01J41AHET3YSWV7N7FXFDF80DV&hash=item4979f0d392:g:phkAAOSw7GhmnemQ,3.15578E+11,'315578438546',,
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Skirts > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Skirts",CELINE Vintage Macadam Logo Skirt #34 Chain Charm Zip Black Cotton Rank AB+,1,US $264.00,Pre-owned,https://www.ebay.com/itm/315578440245?itmmeta=01J41AHET30HHWY0JG31X57JMG&hash=item4979f0da35:g:uCgAAOSwB0VmneVB,3.15578E+11,'315578440245',,
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Sweaters > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Tops",CHANEL Vintage 01C Logo Knit Top #42 Sweater Black Gold Frill Cotton Rank AB,1,US $336.00,Pre-owned,https://www.ebay.com/itm/315578449665?itmmeta=01J41AHET3EEKKM6RP22JRBJCP&hash=item4979f0ff01:g:jMgAAOSwNTFmneqI,3.15578E+11,'315578449665',,
"Yokohama, JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Skirts > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Skirts",CELINE Vintage Logo Chain Skirt #34 Brown Medium Length Cotton Zip Rank AB,1,US $264.00,Pre-owned,https://www.ebay.com/itm/315578454747?itmmeta=01J41AHET350TVHGMFGN5CJS4A&hash=item4979f112db:g:ljUAAOSwF2pmnelD,3.15578E+11,'315578454747',,
"yamanashi, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Hand Fans",Tiffany & Co Diary Jornal Notebook Tiffany Wonder Tokyo Limited Novelty,1,US $57.00,not specified,https://www.ebay.com/itm/375550616940?itmmeta=01J41AHET3HN0Z931Z37XA5MXH&hash=item57708fa56c:g:8GEAAOSwMQtmnkE9,3.75551E+11,'375550616940',,
"TOKYO, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Handkerchiefs",Frozen Olaf Hand towel Ichiban Kuji,1,US $2.25,not specified,https://www.ebay.com/itm/226255700500?itmmeta=01J41AHET3GMF84H5EYNFAE6J5&hash=item34ade40214:g:2Q4AAOSwmdxmnnNT,2.26256E+11,'226255700500',,
"Nakanoku Tokyo, default, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Wallets & Coin Purses",Cartier Coin Case Purse Authentic Perfect,1,US $85.00,not specified,https://www.ebay.com/itm/296584862873?itmmeta=01J41AHET3JE5JJHF54RTZ8C2P&hash=item450dd5dc99:g:vu0AAOSw1fZlFWOx,2.96585E+11,'296584862873',,
"JP, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Jean Paul Gaultier 58-5105 Matte Brown Gold Sunglasses Dark Gray Len Used w/Case,1,US $269.99,not specified,https://www.ebay.com/itm/196516687717?itmmeta=01J41AHET35K81XQHEYAEPZ84D&hash=item2dc14eaf65:g:0Q0AAOSwwOxmnoLO,1.96517E+11,'196516687717',,
"JAPAN, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",GIANNI VERSACE MOD S68 Col.57M GOLD Medusa Sunglasses Vintage 90's,5,US $249.80,not specified,https://www.ebay.com/itm/226256439713?itmmeta=01J41AHET31TYJKWN3Y7C1MW7B&hash=item34adef49a1:g:SQQAAOSwdjBmnyjE,2.26256E+11,'226256439713',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=10&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Men's Vintage Clothing > Outerwear Coats & Jackets",Vintage 1940s Levi's 506XX Original 1st G-Jean Jacket Outer Mens Size M Blue,2,"US $4,399.00",not specified,https://www.ebay.com/itm/326208572143?itmmeta=01J41AHET3986JQD68R3EEAVAG&hash=item4bf38bcaef:g:tpUAAOSw6Udmn0nZ,3.26209E+11,'326208572143',,
